Year,carrier_lg,total_passengers,year_total,market_share
1998,CO,217767,2176741,10.004267848127085
1998,DL,308683,2176741,14.180970542659876
1998,F9,1353,2176741,0.062157142259919765
1998,FF,4188,2176741,0.19239771750520618
1998,FL,10180,2176741,0.4676716246903054
1998,HP,44954,2176741,2.0651974672227884
1998,JI,10966,2176741,0.5037806519011678
1998,KP,1132,2176741,0.05200434962175105
1998,NJ,1365,2176741,0.06270842511810087
1998,NK,9000,2176741,0.4134621436358299
1998,NW,138958,2176741,6.38376361726085
1998,P9,2752,2176741,0.12642753547620042
1998,QQ,15547,2176741,0.7142328830118052
1998,TW,45097,2176741,2.07176692128278
1998,TZ,34560,2176741,1.587694631561587
1998,UA,377258,2176741,17.33132237597399
1998,US,218965,2176741,10.059304253468833
1998,W7,8,2176741,0.00036752190545407103
1998,W9,468,2176741,0.021500031469063152
1998,WN,340779,2176741,15.65546842734161
1998,YV,0,2176741,0.0
1998,YX,15392,2176741,0.7071121460936326
1998,YY,0,2176741,0.0
1999,AA,289844,2322840,12.478001067658557
1999,AS,63906,2322840,2.751201115875394
1999,CO,239889,2322840,10.327400940228342
1999,DL,332296,2322840,14.305591431179074
1999,F9,583,2322840,0.02509858621342839
1999,FF,7326,2322840,0.315389781474402
1999,FL,10028,2322840,0.4317129031702571
1999,HP,48038,2322840,2.068071843088633
1999,JI,8757,2322840,0.3769954021800899
1999,N7,1799,2322840,0.07744829605138537
1999,NJ,1822,2322840,0.07843846326049148
1999,NK,14403,2322840,0.620059926641525
1999,NW,157006,2322840,6.7592257753439755
1999,P9,3085,2322840,0.13281155826488264
1999,QQ,9047,2322840,0.38948011916447106
1999,SY,3517,2322840,0.1514094814967884
1999,TW,47412,2322840,2.0411220747016583
1999,TZ,40583,2322840,1.7471285150935922
1999,UA,379478,2322840,16.33681183378967
1999,US,237550,2322840,10.226705240137074
1999,WN,408806,2322840,17.599404177644608
1999,YX,16945,2322840,0.7294949286218594
1999,ZA,720,2322840,0.03099653871984295
2000,AA,328382,2451166,13.396971074174497
2000,AS,61036,2451166,2.490080231204251
2000,B6,12770,2451166,0.5209765474880118
2000,CO,246012,2451166,10.03652955368996
2000,DL,342057,2451166,13.954868825693566
2000,F9,109,2451166,0.00444686324793996
2000,FL,11468,2451166,0.46785896997592163
2000,G4,216,2451166,0.008812132674816802
2000,HP,48533,2451166,1.979996458828166
2000,JI,11342,2451166,0.4627185592489452
2000,LC,1709,2451166,0.06972192009843478
2000,N7,8070,2451166,0.32923106798968327
2000,NJ,2200,2451166,0.08975320316943039
2000,NK,17116,2451166,0.6982799206581684
2000,NW,158067,2451166,6.448645256991979
2000,P9,1745,2451166,0.07119060887757092
2000,PN,32,2451166,0.0013055011370098966
2000,SY,1822,2451166,0.07433197098850099
2000,TW,49407,2451166,2.0156529586327485
2000,TZ,56808,2451166,2.317590893476819
2000,UA,352300,2451166,14.372751580268329
2000,US,263937,2451166,10.767814174968159
2000,WN,458344,2451166,18.699019160677
2000,YX,17684,2451166,0.7214525658400941
2000,YY,0,2451166,0.0
2001,AA,279644,2227580,12.553712997961913
2001,AS,60708,2227580,2.725289327431563
2001,B6,38004,2227580,1.7060666732507925
2001,CO,235478,2227580,10.571023262913117
2001,DL,312895,2227580,14.046409107641477
2001,F9,0,2227580,0.0
2001,FL,12435,2227580,0.5582291096167141
2001,HP,47113,2227580,2.114985769310193
2001,JI,10258,2227580,0.4604997351385809
2001,N7,13036,2227580,0.5852090609540398
2001,NJ,4869,2227580,0.21857800842169528
2001,NK,14367,2227580,0.6449600014365365
2001,NW,103984,2227580,4.668025390782823
2001,PN,9,2227580,0.00040402589357060127
2001,RP,2752,2227580,0.12354213990069941
2001,SY,1232,2227580,0.05530665565322008
2001,TW,36208,2227580,1.6254410616004813
2001,TZ,54724,2227580,2.456656999973065
2001,UA,301394,2227580,13.530108907424202
2001,US,205414,2227580,9.221397211323499
2001,WN,474458,2227580,21.29925749019115
2001,YX,18598,2227580,0.8348970631806714
2001,YY,0,2227580,0.0
2002,AA,329749,2163044,15.244673709827447
2002,AS,57576,2163044,2.6618043830823597
2002,B6,65406,2163044,3.023794245516966
2002,CO,217270,2163044,10.044640793252473
2002,DL,282751,2163044,13.071902374616512
2002,F9,1853,2163044,0.08566631099506067
2002,FL,21032,2163044,0.972333433809021
2002,HP,51355,2163044,2.3742004323536645
2002,JI,1733,2163044,0.08011857363974104
2002,N7,13439,2163044,0.6213003526511712
2002,NJ,4666,2163044,0.2157145208326784
2002,NK,27653,2163044,1.2784298423887817
2002,NW,120668,2163044,5.578619759930912
2002,PN,59,2163044,0.002727637533032153
2002,TZ,54679,2163044,2.527872757096018
2002,UA,270730,2163044,12.516157785047369
2002,US,148005,2163044,6.842440560617352
2002,WN,477030,2163044,22.05364292173437
2002,YX,17390,2163044,0.8039596050750701
2003,AA,332233,2195068,15.135430884145732
2003,AS,62747,2195068,2.858544701120876
2003,B6,100639,2195068,4.584778239216279
2003,CO,227302,2195068,10.355123394810548
2003,DL,284511,2195068,12.961375228466727
2003,F9,7620,2195068,0.34714186530895624
2003,FL,31382,2195068,1.429659582299956
2003,HP,58277,2195068,2.654906362809717
2003,NK,32623,2195068,1.4861954162695643
2003,NW,99356,2195068,4.526329024886701
2003,PN,29,2195068,0.001321143581884479
2003,SY,639,2195068,0.02911071547669594
2003,TZ,55981,2195068,2.550308236464656
2003,UA,254348,2195068,11.587249233281156
2003,US,125989,2195068,5.739639956484264
2003,WN,506643,2195068,23.08097061229994
2003,YX,14749,2195068,0.6719154030763511
2004,AA,388997,2419911,16.07484738075078
2004,AQ,263,2419911,0.01086816829213967
2004,AS,60866,2419911,2.515216468704841
2004,B6,133641,2419911,5.522558474257937
2004,CO,244452,2419911,10.101693822624055
2004,DL,314110,2419911,12.980229438190083
2004,F9,6210,2419911,0.25662100796268955
2004,FL,32317,2419911,1.335462337251246
2004,HP,46819,2419911,1.9347405751699132
2004,NK,27173,2419911,1.122892536130461
2004,NW,129163,2419911,5.33751034645489
2004,PN,97,2419911,0.004008411879610449
2004,SY,1585,2419911,0.06549827658951093
2004,TZ,58135,2419911,2.402361078568592
2004,UA,302373,2419911,12.495211600757218
2004,US,135066,2419911,5.581444937437782
2004,WN,520923,2419911,21.526535480023853
2004,YX,17721,2419911,0.7322996589543995
2004,YY,0,2419911,0.0
2005,AA,415489,2668863,15.56801529340397
2005,AQ,270,2668863,0.010116667659598863
2005,AS,79159,2668863,2.9660196120969866
2005,B6,160309,2668863,6.006640280898645
2005,CO,270935,2668863,10.151701305012658
2005,DH,27096,2668863,1.015263803349966
2005,DL,333516,2668863,12.496557522810276
2005,E9,66,2668863,0.002472963205679722
2005,F9,9730,2668863,0.364574727140359
2005,FL,35644,2668863,1.3355500076249698
2005,G4,3107,2668863,0.11641661636434691
2005,HP,57791,2668863,2.1653790396884363
2005,NK,13368,2668863,0.5008874565685837
2005,NW,133781,2668863,5.012658948773317
2005,SY,822,2668863,0.030799632652556537
2005,TZ,25445,2668863,0.9534022540684929
2005,U5,3601,2668863,0.13492637126746482
2005,UA,284001,2668863,10.641273081458284
2005,US,154770,2668863,5.799098717318948
2005,WN,634711,2668863,23.782074988487604
2005,YX,25252,2668863,0.9461707101488536
2006,AA,439254,2710823,16.20371377991112
2006,AS,60554,2710823,2.2337865659248135
2006,B6,176274,2710823,6.502600870658099
2006,CO,310244,2710823,11.444642457290646
2006,DL,266250,2710823,9.821740482502914
2006,F9,15488,2710823,0.5713394050441508
2006,FL,45055,2710823,1.662041380053216
2006,G4,2578,2710823,0.09510027028692025
2006,HP,32088,2710823,1.1836995628264921
2006,NK,12974,2710823,0.47860004138964446
2006,NW,133571,2710823,4.927322809346092
2006,SY,953,2710823,0.03515537532328743
2006,TZ,12868,2710823,0.474689789779709
2006,U5,3719,2710823,0.13719080884292337
