airport_1,airport_2,total_passengers,avg_fare,avg_distance,avg_fare_per_mile,avg_fare_gap
CVG,BWI,19651,210.86762711864407,430.0,0.49038983050847457,49.70296610169491
CVG,CAK,14,145.32,221.0,0.6575565610859728,0.0
CVG,CLE,550,210.19,221.0,0.9510859728506788,11.782
CVG,DAL,850,255.9782,812.0,0.31524408866995074,23.913899999999998
CVG,DCA,30704,220.7821186440678,430.0,0.5134467875443437,61.51237288135593
CVG,DFW,39419,277.22601694915255,812.0,0.3414113509226016,43.18050847457627
CVG,DTT,12,184.724,238.0,0.7761512605042017,0.0
CVG,DTW,2247,231.60142857142858,232.21428571428572,0.9986181634225744,2.863571428571429
CVG,EFD,9,296.28263157894736,886.0,0.33440477604847335,0.0
CVG,EWR,39091,271.5603389830508,625.7542372881356,0.4340606223297132,48.21542372881356
CVG,FLL,34362,182.27296610169492,948.0,0.19227106128870772,55.86033898305085
CVG,HOU,4013,255.3084693877551,886.0,0.28815854332703733,39.45040816326531
CVG,HPN,3015,283.9392307692308,625.7521367521367,0.45379494319489827,53.23589743589744
CVG,IAD,8758,214.95050847457628,430.0,0.49988490342924713,46.97432203389831
CVG,IAH,18754,264.32714285714286,886.0,0.29833763302160593,38.69275510204082
CVG,ISP,1042,248.6257264957265,626.0,0.3971656972775184,23.028547008547005
CVG,JFK,8461,243.2769491525424,625.7542372881356,0.3888311278963,61.95466101694915
CVG,LAS,797,234.41666666666666,1678.0,0.1397000397298371,62.92000000000001
CVG,LAX,42109,306.74542372881353,1900.0,0.16144495985727028,151.90330508474577
CVG,LGA,50468,260.7224576271187,625.7542372881356,0.41674547037093373,103.03940677966101
CVG,LGB,289,325.5151818181818,1900.0,0.17132377990430622,14.788272727272728
CVG,MCI,700,185.905,539.0,0.3449072356215213,91.6175
CVG,MCO,1935,185.32500000000002,756.0,0.24513888888888888,14.170000000000002
CVG,MIA,21653,201.75762711864408,948.0,0.2128245011800043,43.837881355932204
CVG,MSP,137,255.81,596.0,0.42921140939597313,14.869999999999976
CVG,NYC,162,199.7092857142857,626.0,0.31902441807393883,10.125714285714286
CVG,OAK,1745,353.71101694915257,2036.0,0.1737283973227665,61.16830508474576
